observation_date	IPGMFN
2000-01-01	92.6503
2000-02-01	94.5488
2000-03-01	97.2280
2000-04-01	96.0614
2000-05-01	96.2810
2000-06-01	98.9920
2000-07-01	92.4177
2000-08-01	96.6096
2000-09-01	98.3345
2000-10-01	98.0625
2000-11-01	96.3427
2000-12-01	94.3899
2001-01-01	92.4652
2001-02-01	94.0703
2001-03-01	95.6729
2001-04-01	92.3913
2001-05-01	93.3058
2001-06-01	94.8729
2001-07-01	88.1760
2001-08-01	92.3675
2001-09-01	92.9760
2001-10-01	92.3480
2001-11-01	90.5904
2001-12-01	89.0934
2002-01-01	88.9081
2002-02-01	90.8019
2002-03-01	93.0531
2002-04-01	92.4406
2002-05-01	93.0065
2002-06-01	96.3548
2002-07-01	89.1767
2002-08-01	94.5726
2002-09-01	95.8445
2002-10-01	95.2999
2002-11-01	93.7972
2002-12-01	91.4350
2003-01-01	91.4840
2003-02-01	93.7914
2003-03-01	95.7567
2003-04-01	93.2135
2003-05-01	93.9127
2003-06-01	96.4657
2003-07-01	89.5855
2003-08-01	94.9464
2003-09-01	96.8499
2003-10-01	96.4235
2003-11-01	95.9070
2003-12-01	93.6704
2004-01-01	92.5225
2004-02-01	95.8827
2004-03-01	97.4063
2004-04-01	95.7372
2004-05-01	97.2909
2004-06-01	98.8631
2004-07-01	93.5522
2004-08-01	98.5648
2004-09-01	99.1640
2004-10-01	100.1841
2004-11-01	98.5328
2004-12-01	97.3475
2005-01-01	97.5139
2005-02-01	100.1289
2005-03-01	100.9693
2005-04-01	100.9979
2005-05-01	101.3544
2005-06-01	104.0919
2005-07-01	97.8374
2005-08-01	102.6514
2005-09-01	102.4431
2005-10-01	103.4590
2005-11-01	102.5961
2005-12-01	101.0458
2006-01-01	100.8319
2006-02-01	102.4575
2006-03-01	104.4037
2006-04-01	102.5347
2006-05-01	103.9560
2006-06-01	106.8027
2006-07-01	101.0063
2006-08-01	105.8672
2006-09-01	106.7613
2006-10-01	105.7357
2006-11-01	104.2187
2006-12-01	104.1946
2007-01-01	102.4760
2007-02-01	104.5278
2007-03-01	107.6548
2007-04-01	106.9374
2007-05-01	107.8803
2007-06-01	110.6432
2007-07-01	105.1823
2007-08-01	109.1522
2007-09-01	110.3087
2007-10-01	109.0478
2007-11-01	108.1093
2007-12-01	106.4661
2008-01-01	105.0175
2008-02-01	105.6470
2008-03-01	107.0959
2008-04-01	105.8772
2008-05-01	105.4167
2008-06-01	107.3312
2008-07-01	101.4988
2008-08-01	103.6191
2008-09-01	100.7990
2008-10-01	99.3673
2008-11-01	95.7552
2008-12-01	91.3603
2009-01-01	87.4489
2009-02-01	88.4339
2009-03-01	88.4696
2009-04-01	86.3486
2009-05-01	86.5737
2009-06-01	88.0214
2009-07-01	85.9846
2009-08-01	89.6407
2009-09-01	90.3865
2009-10-01	90.5054
2009-11-01	90.1490
2009-12-01	88.7229
2010-01-01	89.0179
2010-02-01	90.0316
2010-03-01	93.2191
2010-04-01	93.0683
2010-05-01	94.8271
2010-06-01	96.8483
2010-07-01	93.0320
2010-08-01	96.4725
2010-09-01	96.8515
2010-10-01	96.6386
2010-11-01	95.1025
2010-12-01	94.4695
2011-01-01	94.1086
2011-02-01	94.9617
2011-03-01	97.8004
2011-04-01	96.0002
2011-05-01	96.5772
2011-06-01	98.9335
2011-07-01	95.4499
2011-08-01	98.6037
2011-09-01	99.4738
2011-10-01	99.3954
2011-11-01	97.6869
2011-12-01	97.4657
2012-01-01	97.4915
2012-02-01	99.0855
2012-03-01	100.5449
2012-04-01	99.8612
2012-05-01	100.0506
2012-06-01	102.4872
2012-07-01	98.1944
2012-08-01	101.0464
2012-09-01	101.3844
2012-10-01	100.5852
2012-11-01	99.8587
2012-12-01	99.4101
2013-01-01	98.5668
2013-02-01	100.0121
2013-03-01	101.4019
2013-04-01	101.0112
2013-05-01	101.0059
2013-06-01	103.3274
2013-07-01	98.4237
2013-08-01	102.4019
2013-09-01	102.6802
2013-10-01	102.6028
2013-11-01	101.3195
2013-12-01	100.0322
2014-01-01	98.6621
2014-02-01	101.0349
2014-03-01	103.8628
2014-04-01	103.1245
2014-05-01	103.7433
2014-06-01	106.3091
2014-07-01	102.2674
2014-08-01	105.8006
2014-09-01	106.1037
2014-10-01	105.9423
2014-11-01	105.5887
2014-12-01	104.3692
